,Edge_Count,Re(Mean_Frequency),Im(Mean_Frequency),Frequency_Variance,StDev_Contrast,Mean_Noise,StDev_Noise,Minimum_Intensity,Maximum_Intensity,Is_Healthy,Disease
Apple___Cedar_apple_rust_image (263).JPG,292,0.44132941176470597,2.7755575615628914e-17,1180.6284567351192,0.10410723281288159,0.5267339034734988,0.10410723281288159,0.07446509803921568,0.7914807843137256,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (234).JPG,279,0.6266443137254902,-1.3877787807814457e-17,1205.91038757157,0.0737358537326491,0.5376528708065257,0.0737358537326491,0.19264078431372547,0.7557035294117647,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (222).JPG,358,0.30781294117647057,2.7755575615628914e-17,1348.0094223338228,0.14635603847781303,0.5547133538219976,0.14635603847781303,0.02433294117647059,0.790669411764706,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (275).JPG,103,0.5209117647058823,3.469446951953614e-17,1164.3411752401128,0.08779712439773199,0.5259476157513786,0.08779712439773199,0.2674780392156863,0.8091901960784313,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (71).JPG,267,0.3247078431372548,-2.6020852139652106e-17,1323.0291775536375,0.10337231865499028,0.5588784081073837,0.10337231865499028,0.18653254901960784,0.8163862745098039,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (127).JPG,122,0.37837764705882354,8.673617379884035e-18,652.7082600476341,0.05850303981187817,0.3949239805453431,0.05850303981187817,0.22002509803921566,0.5721847058823529,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (259).JPG,332,0.5292976470588237,0.0,1167.7727491238695,0.11174779466582857,0.5221892345473346,0.11174779466582857,0.10865098039215686,0.764684705882353,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (26).JPG,457,0.6057917647058825,3.469446951953614e-18,1134.649807715571,0.16011268451638394,0.501465489430147,0.16011268451638394,0.026885490196078433,0.7363917647058824,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (170).JPG,127,0.44798470588235306,-3.469446951953614e-18,545.145338313568,0.05090804875880154,0.36131633071001834,0.05090804875880154,0.13104862745098037,0.6186482352941176,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (5).JPG,357,0.5599541176470587,2.0816681711721685e-17,1120.1465650855646,0.1378716931879494,0.5045207911113665,0.1378716931879494,0.1176321568627451,0.9254462745098039,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (189).JPG,235,0.5888509803921568,-4.163336342344337e-17,1047.2548314250919,0.14046017002688502,0.4858323212507659,0.14046017002688502,0.1005243137254902,0.770403137254902,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (30).JPG,385,0.43758627450980403,-4.85722573273506e-17,883.2620335886286,0.15816220110875034,0.4366596060240503,0.15816220110875034,0.02324666666666667,0.7433858823529411,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (166).JPG,125,0.346684705882353,6.938893903907228e-18,500.1967608891573,0.061434955173888146,0.34405441348805144,0.061434955173888146,0.11869568627450981,0.6524917647058823,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (218).JPG,204,0.5202490196078431,4.163336342344337e-17,889.428282698453,0.14518989220839695,0.4428674190984988,0.14518989220839695,0.13470235294117647,0.7990427450980392,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (67).JPG,138,0.3599847058823528,-4.163336342344337e-17,853.9425803030165,0.14829320717002561,0.4318828983800551,0.14829320717002561,0.10782470588235295,0.7069317647058824,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (131).JPG,271,0.32461607843137275,1.3877787807814457e-17,878.4371412824739,0.15623678943537977,0.4359793398628983,0.15623678943537977,0.015403529411764705,0.705584705882353,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (88).JPG,195,0.464840392156863,-6.938893903907228e-18,1086.3931610247994,0.08068318589955653,0.508699992053462,0.08068318589955653,0.15902901960784316,0.8088784313725491,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (146).JPG,215,0.5103498039215685,2.7755575615628914e-17,1113.3661404121117,0.0977095135995443,0.5121858495136336,0.0977095135995443,0.014249803921568627,0.8443494117647059,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (10).JPG,349,0.5232549019607843,-6.938893903907228e-18,1430.0588443060285,0.14352508440113812,0.573238916015625,0.14352508440113812,0.04563019607843137,0.8765866666666666,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (111).JPG,342,0.4647992156862746,-8.673617379884035e-18,955.1371918884314,0.117924219191779,0.4683315206609988,0.117924219191779,0.07083411764705883,0.6515011764705883,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (47).JPG,47,0.3011376470588233,-7.806255641895632e-18,502.99258024092524,0.0566983147136774,0.3458444211473652,0.0566983147136774,0.18287176470588237,0.6281211764705882,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (238).JPG,297,0.5930929411764705,-1.0408340855860843e-17,1030.7555646751528,0.10841817043296487,0.489878236730239,0.10841817043296487,0.04423137254901961,0.8764509803921569,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (107).JPG,191,0.48884431372549014,0.0,1040.2646758272288,0.1367161773394796,0.48511637465533086,0.1367161773394796,0.028560000000000002,0.8105294117647059,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (51).JPG,261,0.6777482352941177,-1.0408340855860843e-17,1657.480493859358,0.15466093614742712,0.6171308311312806,0.15466093614742712,0.031908235294117654,0.8292870588235295,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (150).JPG,291,0.5471039215686276,0.0,1053.4789282401239,0.12941519057009868,0.49043020833333334,0.12941519057009868,0.018499607843137256,0.7249043137254902,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (92).JPG,272,0.4667749019607844,1.1275702593849246e-17,903.4569414563753,0.11762597254211463,0.4547393385225184,0.11762597254211463,0.015135686274509806,0.7125725490196079,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (202).JPG,205,0.6022815686274512,-6.938893903907228e-18,1203.5949868437647,0.16238173726218955,0.5172689475145527,0.16238173726218955,0.0968329411764706,0.7991290196078431,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (193).JPG,275,0.3460576470588234,3.469446951953614e-18,779.1331227420654,0.11212549826977544,0.4215153110638787,0.11212549826977544,0.10248941176470587,0.6713941176470589,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (9).JPG,200,0.50731568627451,0.0,957.3329001281805,0.15439255600272703,0.458202603113511,0.15439255600272703,0.035248627450980397,0.7447925490196079,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (255).JPG,267,0.5936811764705884,6.938893903907228e-18,1266.387682541215,0.09041064730777543,0.5487154493144915,0.09041064730777543,0.1744764705882353,0.8105921568627452,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (185).JPG,217,0.5876580392156862,-1.3877787807814457e-17,900.6295248767364,0.12616377461692596,0.45171591634114583,0.12616377461692596,0.05990980392156863,0.6801764705882354,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (243).JPG,157,0.41240078431372545,0.0,853.7015578726066,0.10834277293458176,0.4435387215647978,0.10834277293458176,0.10216117647058823,0.7207823529411765,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (84).JPG,132,0.4210419607843136,1.3877787807814457e-17,887.8993087701747,0.13522065301977157,0.4455681177236519,0.13522065301977157,0.05429176470588236,0.763341568627451,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (214).JPG,231,0.4098623529411765,1.3877787807814457e-17,891.9770780407123,0.13031897564334927,0.4481359374042586,0.13031897564334927,0.03162549019607844,0.7673921568627451,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (215).JPG,508,0.6960537254901962,1.3877787807814457e-17,1321.0401299371313,0.14987247921496413,0.5478832784734988,0.14987247921496413,0.09068627450980392,0.9427913725490196,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (85).JPG,326,0.6216725490196079,-1.3877787807814457e-17,963.397337383862,0.16221970224946075,0.4571471874042586,0.16221970224946075,0.05825803921568627,0.8139741176470588,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (242).JPG,314,0.5039580392156862,1.3877787807814457e-17,1087.1275857967614,0.19280884684880625,0.4778061972464767,0.19280884684880625,0.05204392156862745,0.9066270588235293,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (184).JPG,317,0.6152509803921566,-6.938893903907228e-18,1358.549946068279,0.12328110259203405,0.5626467969707415,0.12328110259203405,0.07364666666666667,0.7985721568627452,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (254).JPG,257,0.5884266666666665,8.239936510889834e-18,1391.0355377425412,0.09971151991689092,0.5742390017041974,0.09971151991689092,0.18115803921568627,0.8366654901960785,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (192).JPG,29,0.3605658823529412,-6.938893903907228e-18,713.8839212534546,0.06055106582728574,0.41310213666130513,0.06055106582728574,0.24881960784313728,0.5814705882352941,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (8).JPG,351,0.5923454901960787,0.0,998.2497765517603,0.15886255047393325,0.4675058040364583,0.15886255047393325,0.017345098039215686,0.86268,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (203).JPG,254,0.5616670588235293,2.0816681711721685e-17,1140.3208754942593,0.11873675869038333,0.5141762853285845,0.11873675869038333,0.10245882352941175,0.7956482352941177,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (93).JPG,194,0.27176078431372547,1.0408340855860843e-17,766.7284634783052,0.12887834198887815,0.41303507113587623,0.12887834198887815,0.125438431372549,0.7562533333333332,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (151).JPG,242,0.38669960784313734,2.6020852139652106e-17,901.0200866836717,0.08342314803745386,0.4615763137637867,0.08342314803745386,0.13361686274509804,0.6586552941176471,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (106).JPG,263,0.5899341176470589,-3.469446951953614e-18,1085.9432956345645,0.14564498641897633,0.4939588841337316,0.14564498641897633,0.08172705882352942,0.8653945098039215,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (50).JPG,228,0.7420450980392158,1.3877787807814457e-17,1196.148777957867,0.15329470655990615,0.5183277675015319,0.15329470655990615,0.11313019607843137,0.8417819607843137,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (239).JPG,234,0.5348631372549021,2.168404344971009e-18,1047.184316965612,0.08842386480861142,0.4979069161688112,0.08842386480861142,0.10925333333333334,0.6834392156862745,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (110).JPG,192,0.42196823529411775,-1.3877787807814457e-17,815.851925540037,0.08866012719966164,0.4374533710554534,0.08866012719966164,0.13610196078431372,0.6814819607843138,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (46).JPG,273,0.18339882352941175,0.0,776.8192643750438,0.11882629284865134,0.41897692603017767,0.11882629284865134,0.08821686274509805,0.8001196078431373,False,Leaf_blight_(Isariopsis_Leaf_Spot)
Apple___Cedar_apple_rust_image (147).JPG,84,0.40699960784313716,0.0,667.8168030655584,0.061180701714866906,0.3991723625153186,0.061180701714866906,0.11787019607843138,0.6118772549019608,False,Leaf_blight_(Isariopsis_Leaf_Spot)
