,Edge_Count,Re(Mean_Frequency),Im(Mean_Frequency),Frequency_Variance,StDev_Contrast,Mean_Noise,StDev_Noise,Minimum_Intensity,Maximum_Intensity,Is_Healthy,Disease
Blueberry___healthy_image (1501).JPG,446,0.531684705882353,1.3877787807814457e-17,1189.2051522097656,0.16719438945486223,0.5122971218213848,0.16719438945486223,0.025210980392156863,0.8750760784313726,True,Healthy
Blueberry___healthy_image (776).JPG,265,0.3768984313725493,-3.469446951953614e-18,1708.0278281529208,0.14822672438849918,0.6285399752029717,0.14822672438849918,0.13641450980392159,0.800564705882353,True,Healthy
Blueberry___healthy_image (1151).JPG,365,0.44096784313725507,6.938893903907228e-18,1340.308597476515,0.15435565283010436,0.5508589519186581,0.15435565283010436,0.04785450980392157,0.8193329411764705,True,Healthy
Blueberry___healthy_image (326).JPG,623,0.41854823529411767,-2.2551405187698492e-17,2455.573923670663,0.24098646960137254,0.7358489268344056,0.24098646960137254,0.25662823529411766,1.0,True,Healthy
Blueberry___healthy_image (1444).JPG,372,0.5978235294117646,4.683753385137379e-17,2929.190393479753,0.21075174392196727,0.819027063036152,0.21075174392196727,0.12409137254901961,1.0,True,Healthy
Blueberry___healthy_image (633).JPG,236,0.5064956862745097,-2.7755575615628914e-17,1697.2789600908648,0.14273725150033137,0.6277447367110907,0.14273725150033137,0.05291490196078432,0.853206274509804,True,Healthy
Blueberry___healthy_image (1014).JPG,336,0.4463564705882354,0.0,1670.4710474614963,0.2037776398402708,0.6052711460248161,0.2037776398402708,0.07478470588235295,0.9074462745098039,True,Healthy
Blueberry___healthy_image (263).JPG,340,0.3920156862745099,-2.7755575615628914e-17,1020.802270326754,0.19977953715709776,0.4575423034428615,0.19977953715709776,0.04903019607843137,0.8577160784313725,True,Healthy
Blueberry___healthy_image (799).JPG,506,0.6297678431372549,-6.938893903907228e-18,1244.4856499116395,0.22505955502884073,0.5032638761871936,0.22505955502884073,0.06413607843137255,0.913464705882353,True,Healthy
Blueberry___healthy_image (1297).JPG,285,0.3349890196078432,-2.2551405187698492e-17,1112.3767582953021,0.14674937649529704,0.5000683697150735,0.14674937649529704,0.05294470588235294,0.8911419607843137,True,Healthy
Blueberry___healthy_image (849).JPG,308,0.43719215686274504,-1.3877787807814457e-17,1154.836992549868,0.11015600288274992,0.5194756437653186,0.11015600288274992,0.0501321568627451,0.9089933333333333,True,Healthy
Blueberry___healthy_image (1278).JPG,281,0.4633592156862746,-2.7755575615628914e-17,1053.3389209745208,0.1377958424044078,0.48808559263939955,0.1377958424044078,0.035576078431372546,0.8084180392156863,True,Healthy
Blueberry___healthy_image (1106).JPG,312,0.46342039215686265,1.734723475976807e-18,1719.8566693456173,0.15504331172139568,0.6292065518727022,0.15504331172139568,0.051552941176470586,0.8416701960784313,True,Healthy
Blueberry___healthy_image (371).JPG,383,0.40182470588235314,-2.7755575615628914e-17,1106.7774619773456,0.18301001442719614,0.4865758888633579,0.18301001442719614,0.04509372549019608,0.8857231372549019,True,Healthy
Blueberry___healthy_image (721).JPG,535,0.5096356862745098,5.204170427930421e-17,1104.099614727463,0.1906097899402329,0.4829978139361213,0.1906097899402329,0.03027843137254902,0.8526839215686274,True,Healthy
Blueberry___healthy_image (1043).JPG,392,0.29391411764705905,3.469446951953614e-17,1105.0859108141094,0.1874575141211175,0.48443486203661157,0.1874575141211175,0.024399607843137255,0.8151498039215688,True,Healthy
Blueberry___healthy_image (234).JPG,413,0.5199568627450979,1.3877787807814457e-17,1780.364614881853,0.18175763659823113,0.6337897885071997,0.18175763659823113,0.09267411764705882,0.8274203921568628,True,Healthy
Blueberry___healthy_image (1413).JPG,459,0.33176705882352936,-2.0816681711721685e-17,1686.590979893763,0.1930591666167018,0.61198072399663,0.1930591666167018,0.0697321568627451,0.8618435294117647,True,Healthy
Blueberry___healthy_image (664).JPG,365,0.47527803921568623,-2.0816681711721685e-17,1357.664987463029,0.1466302274272172,0.5567907180606617,0.1466302274272172,0.04507176470588235,0.9025945098039216,True,Healthy
Blueberry___healthy_image (408).JPG,377,0.17374274509803922,1.3877787807814457e-17,1077.9993833254757,0.24589385869946673,0.4502521773514093,0.24589385869946673,0.03895490196078432,0.8722917647058824,True,Healthy
Blueberry___healthy_image (1385).JPG,396,0.2860552941176471,0.0,1268.9291626855595,0.21867846543376268,0.511856293370864,0.21867846543376268,0.036714901960784314,0.9067376470588236,True,Healthy
Blueberry___healthy_image (737).JPG,446,0.69898,1.3010426069826053e-17,1015.8665268678226,0.1900811781287772,0.460437525658701,0.1900811781287772,0.039460784313725496,0.8292015686274509,True,Healthy
Blueberry___healthy_image (367).JPG,490,0.4504478431372551,0.0,1044.1006189688103,0.1534398503642934,0.4810541829427083,0.1534398503642934,0.03726549019607843,0.8491070588235295,True,Healthy
Blueberry___healthy_image (1110).JPG,454,0.4474145098039213,-2.0816681711721685e-17,1574.913414545377,0.17603343901038845,0.5946103309780943,0.17603343901038845,0.08822392156862746,0.8492454901960784,True,Healthy
Blueberry___healthy_image (672).JPG,458,0.45165568627450986,-3.903127820947816e-18,1135.3292648714191,0.16287894776084488,0.5006997579656862,0.16287894776084488,0.039781176470588236,0.8215886274509804,True,Healthy
Blueberry___healthy_image (1405).JPG,343,0.46112549019607835,-2.7755575615628914e-17,1407.49310659815,0.18926685317383285,0.554847923560049,0.18926685317383285,0.03165529411764706,0.8876952941176471,True,Healthy
Blueberry___healthy_image (388).JPG,312,0.3575450980392157,1.3877787807814457e-17,1703.8499677358263,0.21369600395860938,0.6085591380399817,0.21369600395860938,0.08989843137254903,0.859664705882353,True,Healthy
Blueberry___healthy_image (222).JPG,328,0.3661164705882354,-6.938893903907228e-18,1624.6689080514327,0.22283290338218095,0.5890890465111825,0.22283290338218095,0.07899686274509804,0.8764364705882353,True,Healthy
Blueberry___healthy_image (1055).JPG,595,0.8591368627450982,1.3877787807814457e-17,1258.2689681706306,0.23017953072583042,0.5043730366306679,0.23017953072583042,0.04594980392156863,0.9013945098039216,True,Healthy
Blueberry___healthy_image (808).JPG,471,0.5599039215686276,5.551115123125783e-17,1147.4672812177737,0.19535638546842626,0.49199166465609684,0.19535638546842626,0.03979607843137255,0.8951913725490196,True,Healthy
Blueberry___healthy_image (1239).JPG,244,0.4518850980392157,-2.0816681711721685e-17,1878.8620085853731,0.1469983957759772,0.6611715891161153,0.1469983957759772,0.10223490196078432,0.8921376470588235,True,Healthy
Blueberry___healthy_image (1393).JPG,381,0.4070286274509803,6.938893903907228e-18,1602.2729073942232,0.15734374179758898,0.6053621257467832,0.15734374179758898,0.08290352941176471,0.8778737254901962,True,Healthy
Blueberry___healthy_image (330).JPG,474,0.7084529411764707,1.3877787807814457e-17,1117.5526436840464,0.1675187205659575,0.49487373611749386,0.1675187205659575,0.05098745098039216,0.8546333333333334,True,Healthy
Blueberry___healthy_image (1147).JPG,213,0.3115349019607845,-2.6020852139652106e-18,1879.4384620548158,0.2056470022365631,0.6454303107766544,0.2056470022365631,0.07195725490196078,0.8657650980392156,True,Healthy
Blueberry___healthy_image (760).JPG,371,0.42224745098039207,4.163336342344337e-17,1050.1157885015084,0.1542132211451333,0.4823253423713235,0.1542132211451333,0.03359764705882354,0.839016862745098,True,Healthy
Blueberry___healthy_image (275).JPG,328,0.42247843137254887,1.3877787807814457e-17,1084.7252795056415,0.17505767497397043,0.48396683182061884,0.17505767497397043,0.03582901960784314,0.7846105882352942,True,Healthy
Blueberry___healthy_image (1002).JPG,406,0.45357294117647035,0.0,1838.3032470988828,0.13844782839503275,0.6555050946882659,0.13844782839503275,0.0680356862745098,0.8531898039215686,True,Healthy
Blueberry___healthy_image (625).JPG,502,0.5003498039215685,-4.163336342344337e-17,1283.8164769702146,0.20228686828557427,0.5220851468673408,0.20228686828557427,0.06831843137254902,0.8756486274509805,True,Healthy
Blueberry___healthy_image (1452).JPG,623,0.15882941176470586,0.0,1550.0258333382435,0.1986342468999415,0.582215484643076,0.1986342468999415,0.06469450980392157,0.8918784313725491,True,Healthy
Blueberry___healthy_image (1281).JPG,353,0.42281058823529405,-9.540979117872439e-18,1350.9702448498936,0.1735428589386997,0.5474972518382354,0.1735428589386997,0.10005764705882353,0.748483137254902,True,Healthy
Blueberry___healthy_image (449).JPG,711,0.45056941176470594,0.0,1247.5504681822283,0.24059111809685105,0.49673255237055763,0.24059111809685105,0.06162823529411765,0.9316596078431373,True,Healthy
Blueberry___healthy_image (1079).JPG,528,0.3448921568627451,-1.3877787807814457e-17,1222.41180902359,0.24514411568441635,0.4882353799977023,0.24514411568441635,0.03418509803921569,0.910674117647059,True,Healthy
Blueberry___healthy_image (1429).JPG,415,0.6188003921568627,6.938893903907228e-18,2164.204879536208,0.16392036541390675,0.7082329634842219,0.16392036541390675,0.12352588235294118,0.9916141176470589,True,Healthy
Blueberry___healthy_image (1096).JPG,485,0.45804039215686254,5.551115123125783e-17,1337.2771497515619,0.22429132776707095,0.5255742577167586,0.22429132776707095,0.05824313725490197,0.9014564705882353,True,Healthy
Blueberry___healthy_image (432).JPG,489,0.3643011764705882,-2.0816681711721685e-17,851.8350313637434,0.1859739600408709,0.4164296151194853,0.1859739600408709,0.046225490196078425,0.8129270588235293,True,Healthy
Blueberry___healthy_image (1215).JPG,409,0.5829611764705883,0.0,1910.8051603062188,0.20157793421236322,0.6526518767233456,0.20157793421236322,0.05626313725490196,0.9041701960784314,True,Healthy
Blueberry___healthy_image (598).JPG,350,0.3362321568627452,-2.7755575615628914e-17,1674.8381059156693,0.19879529367575724,0.6077861908318014,0.19879529367575724,0.04259372549019608,0.8644039215686274,True,Healthy
Blueberry___healthy_image (71).JPG,428,0.6490411764705882,0.0,920.683766056115,0.1987981771716823,0.43053273992800245,0.1987981771716823,0.03613450980392157,0.8947215686274511,True,Healthy
Blueberry___healthy_image (961).JPG,378,0.5062270588235295,-1.3877787807814457e-17,1664.1045158390339,0.22830712895001298,0.595158748851103,0.22830712895001298,0.056836470588235294,0.8688760784313726,True,Healthy
Blueberry___healthy_image (824).JPG,635,0.49172745098039206,1.3877787807814457e-17,1241.159494048168,0.16454376218674419,0.5253587699142157,0.16454376218674419,0.04733372549019608,0.8936062745098039,True,Healthy
Blueberry___healthy_image (577).JPG,493,0.610726274509804,-6.938893903907228e-18,995.5558468162919,0.17283646051694507,0.4618162467447917,0.17283646051694507,0.042578823529411766,0.8291545098039215,True,Healthy
Blueberry___healthy_image (127).JPG,411,0.4874235294117647,-6.938893903907228e-18,1349.62874272218,0.17786472233400685,0.54582171875,0.17786472233400685,0.033902352941176474,0.805863137254902,True,Healthy
Blueberry___healthy_image (1350).JPG,604,0.4944419607843138,-2.0816681711721685e-17,956.2992636033392,0.15984803990717525,0.45604801259957106,0.15984803990717525,0.035554117647058826,0.8322678431372549,True,Healthy
