,Edge_Count,Re(Mean_Frequency),Im(Mean_Frequency),Frequency_Variance,StDev_Contrast,Mean_Noise,StDev_Noise,Minimum_Intensity,Maximum_Intensity,Is_Healthy,Disease
Cherry___Powdery_mildew_image (776).JPG,610,0.4747831372549019,-1.5612511283791264e-17,1070.1940824948333,0.11853884237541436,0.49727399787454046,0.11853884237541436,0.07361686274509804,0.8130607843137255,False,Powdery_mildew
Cherry___Powdery_mildew_image (326).JPG,528,0.6687415686274508,2.0816681711721685e-17,1358.0346621231765,0.12300248220817542,0.5626108814912684,0.12300248220817542,0.1775043137254902,0.8770035294117647,False,Powdery_mildew
Cherry___Powdery_mildew_image (633).JPG,507,0.5807133333333333,-6.938893903907228e-18,851.4417181666473,0.09816389648148324,0.4453287478936888,0.09816389648148324,0.1551286274509804,0.728013725490196,False,Powdery_mildew
Cherry___Powdery_mildew_image (1014).JPG,600,0.5597027450980391,2.7755575615628914e-17,953.3763686703955,0.1227813056006018,0.4666466915594363,0.1227813056006018,0.03249647058823529,0.8223615686274509,False,Powdery_mildew
Cherry___Powdery_mildew_image (263).JPG,575,0.22190274509803914,1.3877787807814457e-17,525.5746371630154,0.08923466752181512,0.3469341669538909,0.08923466752181512,0.09687843137254902,0.7167917647058825,False,Powdery_mildew
Cherry___Powdery_mildew_image (799).JPG,329,0.37347098039215676,-6.938893903907228e-18,759.27478496499,0.08801813980650092,0.42149339317172185,0.08801813980650092,0.1576678431372549,0.7159968627450981,False,Powdery_mildew
Cherry___Powdery_mildew_image (849).JPG,542,0.5586117647058824,2.7755575615628914e-17,880.7309283583406,0.10200499187937043,0.4524305077167586,0.10200499187937043,0.10864235294117647,0.8199203921568627,False,Powdery_mildew
Cherry___Powdery_mildew_image (371).JPG,329,0.5006890196078432,1.0408340855860843e-17,683.2775627006034,0.08049423981493964,0.40049680654488357,0.08049423981493964,0.16252627450980395,0.7181827450980393,False,Powdery_mildew
Cherry___Powdery_mildew_image (721).JPG,317,0.351844705882353,-4.163336342344337e-17,729.803162986381,0.10057809985920454,0.4099864259727328,0.10057809985920454,0.06860901960784314,0.7390592156862745,False,Powdery_mildew
Cherry___Powdery_mildew_image (1043).JPG,347,0.30824000000000007,-1.3877787807814457e-17,716.8425339737985,0.09193436723474231,0.40814415670955884,0.09193436723474231,0.0769949019607843,0.7054239215686275,False,Powdery_mildew
Cherry___Powdery_mildew_image (234).JPG,324,0.45450588235294104,-6.938893903907228e-18,929.421373568897,0.0825373706675131,0.46919881816789216,0.0825373706675131,0.053198431372549024,0.8392549019607843,False,Powdery_mildew
Cherry___Powdery_mildew_image (664).JPG,379,0.4715172549019609,-2.0816681711721685e-17,967.1588912554282,0.10927801389092515,0.473534973671109,0.10927801389092515,0.2057964705882353,0.7879611764705883,False,Powdery_mildew
Cherry___Powdery_mildew_image (408).JPG,669,0.43440431372549,-2.0816681711721685e-17,1106.9000431233296,0.15318633726179742,0.4968091036688113,0.15318633726179742,0.1050356862745098,0.8799796078431372,False,Powdery_mildew
Cherry___Powdery_mildew_image (737).JPG,484,0.32727921568627455,-1.0408340855860843e-17,851.1327576256001,0.11610516489386939,0.4408421762982536,0.11610516489386939,0.0559278431372549,0.7007843137254902,False,Powdery_mildew
