,Edge_Count,Re(Mean_Frequency),Im(Mean_Frequency),Frequency_Variance,StDev_Contrast,Mean_Noise,StDev_Noise,Minimum_Intensity,Maximum_Intensity,Is_Healthy,Disease
Corn___Cercospora_leaf_spot Gray_leaf_spot_image (326).JPG,847,0.6192521568627452,-1.0408340855860843e-17,1072.953597588413,0.1425198599924279,0.4916637802542892,0.1425198599924279,0.056278039215686276,0.8402858823529411,True,Healthy
Corn___Cercospora_leaf_spot Gray_leaf_spot_image (371).JPG,632,0.5538074509803922,2.42861286636753e-17,1418.0391322253188,0.2460226841457703,0.5345546534160539,0.2460226841457703,0.04340509803921569,1.0,True,Healthy
Corn___Cercospora_leaf_spot Gray_leaf_spot_image (234).JPG,482,0.546906274509804,-8.673617379884035e-18,964.0983754486466,0.11047029508552308,0.47248800819546566,0.11047029508552308,0.17285607843137255,0.7409670588235294,True,Healthy
Corn___Cercospora_leaf_spot Gray_leaf_spot_image (408).JPG,829,0.4800933333333332,2.0816681711721685e-17,1082.8435688990257,0.16231029300832536,0.4879321124387255,0.16231029300832536,0.026602745098039216,0.9484470588235294,True,Healthy
Corn___Cercospora_leaf_spot Gray_leaf_spot_image (367).JPG,64,0.4437435294117646,-1.734723475976807e-18,1013.6895697677107,0.0553651851648462,0.4944346010454963,0.0553651851648462,0.2921149019607843,0.7203105882352941,True,Healthy
Corn___Cercospora_leaf_spot Gray_leaf_spot_image (388).JPG,493,0.45689137254901974,-6.938893903907228e-18,946.8785973009423,0.09898942940165584,0.47055668064491424,0.09898942940165584,0.15890039215686275,0.7820745098039216,True,Healthy
Corn___Cercospora_leaf_spot Gray_leaf_spot_image (222).JPG,275,0.407984705882353,-6.938893903907228e-18,973.9599533777407,0.08723372661693188,0.4798063216145833,0.08723372661693188,0.24290235294117649,0.8467094117647058,True,Healthy
Corn___Cercospora_leaf_spot Gray_leaf_spot_image (330).JPG,644,0.478655294117647,0.0,986.1356957777512,0.12422051398867039,0.47474307186351106,0.12422051398867039,0.20545411764705881,0.8772776470588236,True,Healthy
Corn___Cercospora_leaf_spot Gray_leaf_spot_image (275).JPG,569,0.591035294117647,1.3877787807814457e-17,976.7827088249603,0.18695350513671177,0.45122722857306985,0.18695350513671177,0.01508313725490196,0.943692156862745,True,Healthy
Corn___Cercospora_leaf_spot Gray_leaf_spot_image (71).JPG,695,0.6738556862745102,-1.3877787807814457e-17,1061.4055112821798,0.10509553434333442,0.4981947343175552,0.10509553434333442,0.16002078431372552,0.7941227450980394,True,Healthy
