,Edge_Count,Re(Mean_Frequency),Im(Mean_Frequency),Frequency_Variance,StDev_Contrast,Mean_Noise,StDev_Noise,Minimum_Intensity,Maximum_Intensity,Is_Healthy,Disease
Grape___Black_rot_image (776).JPG,622,0.6149403921568625,-2.0816681711721685e-17,1720.4655297380987,0.16990252588626906,0.6255085799632353,0.16990252588626906,0.07444235294117647,0.8938121568627451,False,Black_rot
Grape___Black_rot_image (1151).JPG,544,0.218524705882353,0.0,679.8516433031793,0.15614050896643605,0.3763126426547182,0.15614050896643605,0.04277921568627451,0.6181713725490197,False,Black_rot
Grape___Black_rot_image (326).JPG,594,0.47399921568627446,-2.7755575615628914e-17,1091.0457003339895,0.18402866214706878,0.48224151941636034,0.18402866214706878,0.0352643137254902,0.7761501960784314,False,Black_rot
Grape___Black_rot_image (633).JPG,489,0.315609019607843,-2.211772431870429e-17,996.3380654592615,0.16783025397424023,0.463792973728554,0.16783025397424023,0.11521098039215687,0.7328396078431373,False,Black_rot
Grape___Black_rot_image (1014).JPG,632,0.3762733333333333,-3.122502256758253e-17,936.0298760701013,0.16483078561176848,0.44876307435278795,0.16483078561176848,0.05171568627450981,0.7121854901960785,False,Black_rot
Grape___Black_rot_image (263).JPG,508,0.5423521568627454,0.0,1248.2888103080863,0.14810554563614237,0.5318783419500612,0.14810554563614237,0.046579999999999996,0.7915349019607842,False,Black_rot
Grape___Black_rot_image (799).JPG,621,0.2962050980392156,-2.7755575615628914e-17,838.6890300869161,0.1658560203496584,0.4210359423828125,0.1658560203496584,0.024539607843137256,0.7327301960784314,False,Black_rot
Grape___Black_rot_image (849).JPG,415,0.25780078431372566,-1.214306433183765e-17,768.6532134373217,0.11286476048202466,0.4182550031594669,0.11286476048202466,0.041334901960784314,0.6455839215686275,False,Black_rot
Grape___Black_rot_image (1106).JPG,557,0.5073752941176468,0.0,1253.570051662471,0.18841872457660827,0.5202005470664829,0.18841872457660827,0.03956235294117647,0.8333,False,Black_rot
Grape___Black_rot_image (371).JPG,468,0.3692274509803922,2.7755575615628914e-17,782.9182947779266,0.16783078906328694,0.40374282839307596,0.16783078906328694,0.04533960784313725,0.6940423529411764,False,Black_rot
Grape___Black_rot_image (721).JPG,385,0.32617098039215686,1.3877787807814457e-17,875.0738266331296,0.15922392565604948,0.43395251579733457,0.15922392565604948,0.05937490196078432,0.7487141176470589,False,Black_rot
Grape___Black_rot_image (1043).JPG,679,0.43704784313725503,-2.7755575615628914e-17,1104.7943815969463,0.15592909187359136,0.49543712277879903,0.15592909187359136,0.03965333333333333,0.7660819607843136,False,Black_rot
Grape___Black_rot_image (234).JPG,659,0.4098631372549021,-1.3877787807814457e-17,1083.2893421756771,0.19065200203480842,0.4776690944776347,0.19065200203480842,0.03133490196078431,0.8064066666666667,False,Black_rot
Grape___Black_rot_image (664).JPG,760,0.3885298039215689,-1.734723475976807e-17,1314.721757355457,0.20005652376216976,0.5300860620595894,0.20005652376216976,0.06246313725490196,0.8691517647058824,False,Black_rot
Grape___Black_rot_image (408).JPG,481,0.47833215686274516,-1.0408340855860843e-17,1233.581760371213,0.16214199412781677,0.5243407818244485,0.16214199412781677,0.09208588235294118,0.8131407843137255,False,Black_rot
Grape___Black_rot_image (737).JPG,670,0.3488529411764705,2.6020852139652106e-17,1112.5300636012003,0.21622789052067493,0.4742246260340074,0.21622789052067493,0.04086039215686275,0.8618741176470588,False,Black_rot
Grape___Black_rot_image (367).JPG,396,0.2956980392156863,0.0,1069.2787080214382,0.16653714073002818,0.48305393056832113,0.16653714073002818,0.08371764705882352,0.7545850980392157,False,Black_rot
Grape___Black_rot_image (1110).JPG,443,0.18862627450980402,0.0,890.7506642497568,0.17475982608662732,0.43236109164368874,0.17475982608662732,0.1201329411764706,0.7806976470588235,False,Black_rot
Grape___Black_rot_image (672).JPG,729,0.3273035294117647,-2.7755575615628914e-17,1031.5711153781767,0.20920658008320567,0.45618765644148285,0.20920658008320567,0.036908235294117644,0.8349964705882353,False,Black_rot
Grape___Black_rot_image (388).JPG,654,0.4835537254901959,6.938893903907228e-18,1120.548822556759,0.1839834435433268,0.4896720008042279,0.1839834435433268,0.049291764705882354,0.8069572549019609,False,Black_rot
Grape___Black_rot_image (222).JPG,570,0.36033411764705875,-3.2959746043559335e-17,912.3372846365212,0.16969188324369738,0.4404258836933211,0.16969188324369738,0.051263921568627455,0.705576862745098,False,Black_rot
Grape___Black_rot_image (1055).JPG,490,0.4790737254901962,2.7755575615628914e-17,1271.2382760912647,0.230741746514791,0.507124429285386,0.230741746514791,0.06467254901960785,0.8618741176470588,False,Black_rot
Grape___Black_rot_image (808).JPG,518,0.511570980392157,0.0,1169.6222573848552,0.16983027742628673,0.5067286044730392,0.16983027742628673,0.0719721568627451,0.7868286274509804,False,Black_rot
Grape___Black_rot_image (330).JPG,719,0.44433882352941173,-6.938893903907228e-18,1028.7614711255264,0.18657835694627106,0.4651872608379289,0.18657835694627106,0.07863960784313725,0.7991290196078431,False,Black_rot
Grape___Black_rot_image (1147).JPG,622,0.20009254901960782,-6.938893903907228e-18,767.932317322582,0.14247004195737428,0.4088955095358456,0.14247004195737428,0.05147843137254902,0.6327486274509805,False,Black_rot
Grape___Black_rot_image (760).JPG,554,0.529733725490196,-1.3877787807814457e-17,1256.587248452734,0.24078768008853063,0.49887252833946083,0.24078768008853063,0.061554509803921575,0.8739066666666666,False,Black_rot
Grape___Black_rot_image (275).JPG,423,0.16702352941176454,2.7755575615628914e-17,1101.6667032581904,0.1949829281230325,0.4805726438036152,0.1949829281230325,0.06496313725490196,0.8128133333333334,False,Black_rot
Grape___Black_rot_image (1002).JPG,259,0.37989647058823545,-6.938893903907228e-18,974.4659275581209,0.1622763613351368,0.4600090627872242,0.1622763613351368,0.08732392156862746,0.7561764705882353,False,Black_rot
Grape___Black_rot_image (625).JPG,737,0.47848862745098064,-1.3877787807814457e-17,786.7886768560509,0.11351750382058552,0.42338723642386644,0.11351750382058552,0.0979113725490196,0.7707149019607844,False,Black_rot
