,Edge_Count,Re(Mean_Frequency),Im(Mean_Frequency),Frequency_Variance,StDev_Contrast,Mean_Noise,StDev_Noise,Minimum_Intensity,Maximum_Intensity,Is_Healthy,Disease
Orange___Haunglongbing_(Citrus_greening)_image (5112).JPG,465,0.2519,2.0816681711721685e-17,734.9743958404838,0.14385436499930118,0.3984451300168505,0.14385436499930118,0.05990980392156863,0.7244737254901961,True,Healthy
Orange___Haunglongbing_(Citrus_greening)_image (2287).JPG,188,0.3711925490196078,-3.469446951953614e-18,572.363980724783,0.10223740172776909,0.35960874894684436,0.10223740172776909,0.0711843137254902,0.612275294117647,True,Healthy
Orange___Haunglongbing_(Citrus_greening)_image (1852).JPG,184,0.45830039215686275,2.0816681711721685e-17,838.96412156135,0.08973336372718468,0.4436489913641238,0.08973336372718468,0.09358980392156863,0.6388474509803922,True,Healthy
Orange___Haunglongbing_(Citrus_greening)_image (4703).JPG,123,0.4064811764705884,-3.469446951953614e-18,587.8381641480239,0.05003229328135134,0.3755692812691483,0.05003229328135134,0.20507607843137257,0.5968490196078431,True,Healthy
Orange___Haunglongbing_(Citrus_greening)_image (1501).JPG,541,0.38280431372549006,1.0408340855860843e-17,1128.0323520137206,0.13467820827286828,0.5072436099303003,0.13467820827286828,0.05452117647058823,0.7654192156862746,True,Healthy
Orange___Haunglongbing_(Citrus_greening)_image (776).JPG,269,0.43722705882352936,1.496198998029996e-17,530.1438088665369,0.10153244235252196,0.3452064248238358,0.10153244235252196,0.07592431372549019,0.586513725490196,True,Healthy
Orange___Haunglongbing_(Citrus_greening)_image (4353).JPG,245,0.2797196078431371,-2.7755575615628914e-17,640.0467047867684,0.13165325540326783,0.3727571933402267,0.13165325540326783,0.07530627450980393,0.5512333333333332,True,Healthy
Orange___Haunglongbing_(Citrus_greening)_image (3496).JPG,290,0.3924607843137255,3.469446951953614e-18,816.6494806651862,0.08867837216849565,0.43766547133501843,0.08867837216849565,0.06052862745098039,0.6766925490196078,True,Healthy
Orange___Haunglongbing_(Citrus_greening)_image (1151).JPG,238,0.5409419607843137,1.1275702593849246e-17,820.5223033409096,0.10322795505709802,0.43558955135569855,0.10322795505709802,0.15012784313725488,0.689581568627451,True,Healthy
Orange___Haunglongbing_(Citrus_greening)_image (326).JPG,303,0.366318431372549,1.3877787807814457e-17,897.965891968249,0.1223823779033831,0.45197927906709556,0.1223823779033831,0.06389176470588236,0.7529227450980392,True,Healthy
Orange___Haunglongbing_(Citrus_greening)_image (3479).JPG,313,0.37293137254901965,0.0,718.91733934835,0.1333714324630281,0.39719383693321075,0.1333714324630281,0.10175411764705883,0.6762603921568627,True,Healthy
Orange___Haunglongbing_(Citrus_greening)_image (1444).JPG,368,0.46939450980392144,0.0,783.9933511524674,0.1316459025473464,0.4172862026079963,0.1316459025473464,0.016802352941176473,0.6752498039215686,True,Healthy
Orange___Haunglongbing_(Citrus_greening)_image (633).JPG,268,0.5165066666666667,1.9081958235744878e-17,624.5700370044631,0.09896150799999505,0.37782889083563115,0.09896150799999505,0.13784392156862743,0.6601909803921568,True,Healthy
Orange___Haunglongbing_(Citrus_greening)_image (3183).JPG,233,0.46664941176470587,-6.938893903907228e-18,546.9362346945891,0.06850598918081133,0.35901176595052087,0.06850598918081133,0.15292627450980395,0.542430980392157,True,Healthy
Orange___Haunglongbing_(Citrus_greening)_image (4646).JPG,197,0.4338411764705882,4.336808689942018e-18,574.8708591912548,0.07556189590304231,0.3669954801432292,0.07556189590304231,0.10280980392156863,0.5454290196078432,True,Healthy
Orange___Haunglongbing_(Citrus_greening)_image (3029).JPG,209,0.20251803921568612,-1.734723475976807e-18,603.4271911765776,0.14280560997456931,0.3562831211703431,0.14280560997456931,0.10480549019607845,0.5936376470588235,True,Healthy
Orange___Haunglongbing_(Citrus_greening)_image (1014).JPG,333,0.3948980392156863,3.469446951953614e-17,1056.7150987958737,0.16293947677117365,0.48111940716911766,0.16293947677117365,0.07388392156862746,0.7132999999999999,True,Healthy
Orange___Haunglongbing_(Citrus_greening)_image (263).JPG,274,0.3202666666666666,6.938893903907228e-18,640.5674736476732,0.11164745316948613,0.3794053653492647,0.11164745316948613,0.10852941176470589,0.6055847058823529,True,Healthy
Orange___Haunglongbing_(Citrus_greening)_image (799).JPG,136,0.27257058823529423,-1.3877787807814457e-17,652.0141598083848,0.11804343196653236,0.381139122912837,0.11804343196653236,0.14768980392156864,0.6228431372549019,True,Healthy
Orange___Haunglongbing_(Citrus_greening)_image (4216).JPG,210,0.5681925490196081,5.204170427930421e-18,889.8187422564537,0.09596634466501047,0.4561909508080576,0.09596634466501047,0.12067568627450981,0.632061568627451,True,Healthy
Orange___Haunglongbing_(Citrus_greening)_image (2268).JPG,597,0.2935552941176471,-6.938893903907228e-18,870.6630526019239,0.16929753263880654,0.4288631553500306,0.16929753263880654,0.04168588235294117,0.8566525490196079,True,Healthy
