,Edge_Count,Re(Mean_Frequency),Im(Mean_Frequency),Frequency_Variance,StDev_Contrast,Mean_Noise,StDev_Noise,Minimum_Intensity,Maximum_Intensity,Is_Healthy,Disease
Peach___healthy_image (326).JPG,372,0.6395603921568628,3.469446951953614e-17,1514.8326144285681,0.17921688502970246,0.5812171298636643,0.17921688502970246,0.03975137254901961,0.8680427450980392,True,Healthy
Peach___healthy_image (263).JPG,451,0.3958192156862746,4.206704429243757e-17,1024.3513056948932,0.17967107772088972,0.46673581609987747,0.17967107772088972,0.03160274509803922,0.7811650980392156,True,Healthy
Peach___healthy_image (234).JPG,374,0.06605647058823504,-5.204170427930421e-18,1099.552603699909,0.19311430728093368,0.4807841402420343,0.19311430728093368,0.03607490196078432,0.7433858823529411,True,Healthy
Peach___healthy_image (222).JPG,484,0.45746313725490223,-2.7755575615628914e-17,985.2612138675773,0.19677785771882347,0.4493015192248774,0.19677785771882347,0.03325450980392157,0.7643399999999999,True,Healthy
Peach___healthy_image (330).JPG,387,0.6327949019607844,0.0,1148.0597472785155,0.14738700222724183,0.508589084520527,0.14738700222724183,0.02656509803921569,0.7007615686274511,True,Healthy
Peach___healthy_image (275).JPG,378,0.19980196078431367,0.0,1204.4134210327773,0.1703467357026322,0.5148183964269302,0.1703467357026322,0.02772666666666667,0.69684,True,Healthy
Peach___healthy_image (71).JPG,521,0.3490886274509803,2.7755575615628914e-17,1056.4785265383,0.1730592468367582,0.4775034832643995,0.1730592468367582,0.03359764705882354,0.7550980392156863,True,Healthy
Peach___healthy_image (127).JPG,439,0.3653098039215688,-2.0816681711721685e-17,1111.3595985933996,0.16493363593424892,0.4941229640586703,0.16493363593424892,0.02908,0.7540196078431373,True,Healthy
Peach___healthy_image (259).JPG,494,0.5776023529411766,-3.469446951953614e-17,1113.7178290590475,0.18403452658542224,0.48797183440563724,0.18403452658542224,0.008125882352941177,0.7741929411764705,True,Healthy
Peach___healthy_image (26).JPG,401,0.3877545098039215,4.163336342344337e-17,1308.6724921244647,0.17627059444674698,0.5370898482498468,0.17627059444674698,0.031060000000000004,0.8240572549019608,True,Healthy
Peach___healthy_image (170).JPG,431,0.3949490196078429,-6.938893903907228e-18,1121.1108635860014,0.13964098618411303,0.5042292971622242,0.13964098618411303,0.02993607843137255,0.7719309803921568,True,Healthy
