,Edge_Count,Re(Mean_Frequency),Im(Mean_Frequency),Frequency_Variance,StDev_Contrast,Mean_Noise,StDev_Noise,Minimum_Intensity,Maximum_Intensity,Is_Healthy,Disease
"Pepper,_bell___healthy_image (776).JPG",508,0.4502866666666667,-1.3877787807814457e-17,1109.8623985952547,0.1429395986676097,0.500579935948989,0.1429395986676097,0.0456678431372549,0.74538,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (1151).JPG",420,0.431778431372549,-8.673617379884035e-18,1616.694126332019,0.20401383371770176,0.5942428677428003,0.20401383371770176,0.04949921568627451,0.8402643137254903,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (326).JPG",728,0.6446592156862745,0.0,1236.2067275030201,0.17501691179885956,0.5208443385225184,0.17501691179885956,0.03699921568627451,0.8425529411764706,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (1444).JPG",735,0.5093545098039215,-2.7755575615628914e-17,1009.5113444276648,0.17017245996357241,0.4664412125651042,0.17017245996357241,0.02692313725490196,0.7629937254901961,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (633).JPG",629,0.546404705882353,-6.938893903907228e-18,1052.9298349838962,0.18209583119641956,0.47326202722886035,0.18209583119641956,0.04788509803921569,0.7907572549019608,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (1014).JPG",545,0.5032541176470589,-3.469446951953614e-18,1125.32303949437,0.1582596385482247,0.4997527280560662,0.1582596385482247,0.043435686274509805,0.7574125490196079,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (263).JPG",866,0.41690274509803926,1.3877787807814457e-17,962.1462943628403,0.20360256882113678,0.43987205547257957,0.20360256882113678,0.01906509803921569,0.8770247058823529,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (799).JPG",555,0.45439450980392143,-1.3877787807814457e-17,1352.667790219732,0.13067998208130976,0.5596555286841298,0.13067998208130976,0.07391450980392156,0.7327474509803922,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (1297).JPG",498,0.4102,1.8214596497756474e-17,1260.9825200054806,0.1100674262874019,0.5438596347464767,0.1100674262874019,0.04988000000000001,0.7629937254901961,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (849).JPG",655,0.5900462745098036,1.0408340855860843e-17,1156.1956061091298,0.2000493428596994,0.49227997826669734,0.2000493428596994,0.03471372549019608,0.8052976470588236,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (1278).JPG",449,0.5530431372549022,-3.469446951953614e-18,1422.581445608104,0.13744859446866978,0.5731426342294731,0.13744859446866978,0.05630862745098039,0.7990756862745098,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (1106).JPG",667,0.4132058823529413,2.0816681711721685e-17,1295.535738741532,0.1864636336879103,0.530627838158701,0.1864636336879103,0.04450627450980392,0.8834643137254903,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (371).JPG",471,0.5994164705882356,-2.7755575615628914e-17,1414.7634062376378,0.14584708976853708,0.5694010611021754,0.14584708976853708,0.03640313725490196,0.8038839215686275,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (721).JPG",857,0.33565882352941184,-1.3877787807814457e-17,1058.0325883827552,0.16474148833030886,0.4808289570886949,0.16474148833030886,0.008110980392156863,0.8585329411764706,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (1043).JPG",761,0.2860850980392156,3.469446951953614e-17,1216.8717261007112,0.19500414727664128,0.5090001845894607,0.19500414727664128,0.041143137254901964,0.8462419607843138,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (234).JPG",507,0.5536156862745097,1.3877787807814457e-17,1031.5421681394507,0.12221515807803925,0.48680553768382356,0.12221515807803925,0.15077960784313726,0.7419941176470588,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (1413).JPG",474,0.4379101960784316,3.469446951953614e-17,1259.445622389917,0.16061884495573098,0.5307826728132659,0.16061884495573098,0.011504705882352941,0.784313725490196,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (664).JPG",371,0.5335752941176471,-1.3877787807814457e-17,1256.0148799161714,0.12342793876555133,0.5398882376876533,0.12342793876555133,0.043412941176470585,0.7553956862745098,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (408).JPG",669,0.6645286274509802,-2.2551405187698492e-17,2079.0169413706126,0.15542834080373397,0.6953577053653492,0.15542834080373397,0.06532117647058823,0.9778545098039215,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (1385).JPG",469,0.34822784313725497,-1.3877787807814457e-17,1698.4161514283778,0.1705057721738015,0.6209748525582108,0.1705057721738015,0.08648274509803922,0.8427564705882353,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (737).JPG",295,0.426749411764706,0.0,849.8133872188837,0.13093612864849866,0.4363188781020221,0.13093612864849866,0.07815647058823529,0.6613305882352941,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (367).JPG",454,0.5162960784313729,4.163336342344337e-17,1277.6929192051446,0.1409343454735204,0.5404991550819547,0.1409343454735204,0.022963921568627452,0.7658086274509804,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (1110).JPG",524,0.5303776470588233,-1.3877787807814457e-17,1312.755307346881,0.23025562398937627,0.5172503510837929,0.23025562398937627,0.02497372549019608,0.8559803921568627,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (672).JPG",251,0.40881529411764694,-2.0816681711721685e-17,1075.2213599243278,0.11122049726182151,0.5001759880514706,0.11122049726182151,0.2491462745098039,0.7879298039215686,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (1405).JPG",520,0.5507505882352939,-2.0816681711721685e-17,1015.8169588370918,0.15416549584730668,0.4736129657820159,0.15416549584730668,0.025738823529411765,0.7455882352941178,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (388).JPG",539,0.55780431372549,-4.163336342344337e-17,1153.30664093763,0.1895822330606827,0.4956849244600184,0.1895822330606827,0.028284313725490194,0.7447470588235294,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (222).JPG",621,0.4457619607843139,5.204170427930421e-18,1352.3875438565735,0.17635538752422883,0.5469186677581188,0.17635538752422883,0.02101450980392157,0.7862184313725489,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (1055).JPG",541,0.5101862745098039,0.0,1273.3306862320246,0.15656647278250974,0.5351843014705882,0.15656647278250974,0.013721960784313727,0.7677258823529413,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (808).JPG",440,0.386936862745098,-1.3010426069826053e-17,1644.4105722199104,0.2114250019274265,0.5973302655867034,0.2114250019274265,0.03222156862745098,0.860735294117647,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (1239).JPG",623,0.4439439215686275,2.7755575615628914e-17,942.4814160289928,0.1364963348594427,0.4599074572993259,0.1364963348594427,0.04172352941176471,0.6878580392156863,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (1393).JPG",325,0.32531490196078444,6.938893903907228e-18,1285.3218532578396,0.18427730208423393,0.5290245683019301,0.18427730208423393,0.0260521568627451,0.8414250980392157,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (330).JPG",530,0.5662152941176468,2.0816681711721685e-17,2222.108877558063,0.15462578031699,0.7201917728439031,0.15462578031699,0.22931960784313724,0.910844705882353,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (1147).JPG",395,0.4939596078431372,1.0408340855860843e-17,922.4625102010506,0.08458683479041429,0.46702806181066175,0.08458683479041429,0.17794,0.7433976470588235,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (760).JPG",561,0.449406274509804,2.42861286636753e-17,1279.442666971364,0.2051990545295515,0.5199101734834559,0.2051990545295515,0.02575450980392157,0.7938007843137255,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (275).JPG",235,0.35895882352941183,0.0,847.7855232859876,0.1115102793499403,0.44110747328814337,0.1115102793499403,0.21127686274509802,0.7075262745098039,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (1002).JPG",415,0.45646156862745124,-1.9081958235744878e-17,1194.6918405851616,0.1724026190622274,0.5118603501263788,0.1724026190622274,0.04594352941176471,0.7940607843137254,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (625).JPG",719,0.1970498039215687,-3.469446951953614e-17,1257.850953289057,0.18982110793036372,0.5206437789139093,0.18982110793036372,0.03414823529411765,0.8815117647058824,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (1452).JPG",684,0.44908588235294117,-1.3877787807814457e-17,960.6665590298595,0.16626882802106216,0.4549083960439644,0.16626882802106216,0.019332941176470587,0.7413917647058824,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (1281).JPG",321,0.45556705882352944,0.0,1576.5541116685913,0.19122006200318203,0.5902427156096814,0.19122006200318203,0.04024941176470588,0.8531450980392157,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (449).JPG",372,0.5054635294117645,2.0816681711721685e-17,1762.3355276264456,0.16510212710306327,0.6348711374080882,0.16510212710306327,0.1111956862745098,0.845576862745098,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (1079).JPG",602,0.5428839215686271,5.551115123125783e-17,1717.2663839140796,0.17757361388580623,0.6227311247702205,0.17757361388580623,0.12931529411764708,0.8365729411764705,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (1429).JPG",794,0.6077501960784314,-1.3877787807814457e-17,1119.7501334860456,0.19791901661086345,0.4840400150314032,0.19791901661086345,0.10870274509803922,0.8171219607843138,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (1096).JPG",500,0.4857874509803923,1.3877787807814457e-17,1116.7017188925656,0.1490488699029179,0.5004740798291973,0.1490488699029179,0.04536235294117647,0.7713725490196078,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (432).JPG",439,0.5829337254901962,6.938893903907228e-18,1614.07868475924,0.18349341936356636,0.6003959575099571,0.18349341936356636,0.05205882352941177,0.839110588235294,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (1215).JPG",780,0.5533462745098039,1.3877787807814457e-17,1281.5241166480607,0.18927694284960694,0.5264229208792892,0.18927694284960694,0.03113529411764706,0.837518431372549,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (598).JPG",293,0.47320431372549027,6.938893903907228e-18,1185.0185996246719,0.11783416098953077,0.5248628016812193,0.11783416098953077,0.12359568627450983,0.7507113725490197,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (71).JPG",680,0.5543956862745096,1.3877787807814457e-17,1133.9757831489508,0.13507246300105694,0.508605961339614,0.13507246300105694,0.04481176470588235,0.7977223529411764,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (961).JPG",355,0.5215945098039215,1.6479873021779667e-17,1403.3372004204334,0.19704389249397147,0.5512274909045649,0.19704389249397147,0.020731764705882352,0.8508674509803922,False,Tomato_mosaic_virus
"Pepper,_bell___healthy_image (824).JPG",624,0.39647725490196084,5.204170427930421e-17,1148.268744231558,0.16735855299803812,0.5023629575482537,0.16735855299803812,0.021006666666666667,0.7943662745098039,False,Tomato_mosaic_virus
