,Edge_Count,Re(Mean_Frequency),Im(Mean_Frequency),Frequency_Variance,StDev_Contrast,Mean_Noise,StDev_Noise,Minimum_Intensity,Maximum_Intensity,Is_Healthy,Disease
Potato___Early_blight_image (776).JPG,655,0.41911568627451,-1.5612511283791264e-17,1197.4432922220328,0.1442648652585688,0.5211286670879289,0.1442648652585688,0.008676470588235294,0.7927294117647059,False,Early_blight
Potato___Early_blight_image (326).JPG,596,0.6146549019607845,-2.7755575615628914e-17,1154.6670921942734,0.15257462487477597,0.508639721105239,0.15257462487477597,0.01959294117647059,0.7714549019607843,False,Early_blight
Potato___Early_blight_image (633).JPG,803,0.6563031372549023,4.85722573273506e-17,1240.6382342786417,0.18953007549051834,0.5167917414407169,0.18953007549051834,0.02576156862745098,0.8722321568627451,False,Early_blight
Potato___Early_blight_image (263).JPG,1027,0.7102815686274511,-1.3877787807814457e-17,1067.4932262125321,0.16698625042927087,0.482552820446538,0.16698625042927087,0.007232156862745098,0.8361286274509803,False,Early_blight
Potato___Early_blight_image (799).JPG,772,0.7090027450980393,1.3877787807814457e-17,1399.622013330467,0.15650081264954238,0.5633247860179228,0.15650081264954238,0.033581960784313726,0.9144866666666667,False,Early_blight
Potato___Early_blight_image (849).JPG,729,0.659465882352941,6.938893903907228e-18,1064.3369818139765,0.2286956657643605,0.4556888894952512,0.2286956657643605,0.022963921568627452,0.7739698039215687,False,Early_blight
Potato___Early_blight_image (371).JPG,798,0.5495592156862745,-1.734723475976807e-17,1362.0604458877256,0.1566731518895177,0.5550329235600491,0.1566731518895177,0.023491764705882354,0.7778239215686275,False,Early_blight
Potato___Early_blight_image (721).JPG,895,0.5600878431372546,-2.0816681711721685e-17,1255.0422366197863,0.19240955392142878,0.5190972414981618,0.19240955392142878,0.013148627450980393,0.8245803921568629,False,Early_blight
Potato___Early_blight_image (234).JPG,744,0.6242592156862748,-2.0816681711721685e-17,1314.6169100986792,0.17226804041333071,0.5397872338388481,0.17226804041333071,0.05795960784313725,0.8251733333333334,False,Early_blight
Potato___Early_blight_image (664).JPG,847,0.37547960784313716,3.8163916471489756e-17,1069.4408097682244,0.2188926008067035,0.46175144521675854,0.2188926008067035,0.020991764705882352,0.8008176470588235,False,Early_blight
Potato___Early_blight_image (408).JPG,741,0.5260807843137256,6.938893903907228e-18,877.9834033666197,0.15901914587833185,0.4348929715265012,0.15901914587833185,0.02267333333333333,0.7185023529411765,False,Early_blight
Potato___Early_blight_image (737).JPG,800,0.5506666666666667,-4.9439619065339e-17,1254.949001957906,0.18798606761738032,0.5206911788641237,0.18798606761738032,0.007232156862745098,0.7887780392156862,False,Early_blight
Potato___Early_blight_image (367).JPG,581,0.6081431372549023,-1.3877787807814457e-17,1410.269157783207,0.14279443237956457,0.569213524241728,0.14279443237956457,0.027450980392156862,0.7801556862745098,False,Early_blight
Potato___Early_blight_image (672).JPG,507,0.5201431372549018,1.9081958235744878e-17,1326.1664455496034,0.1404594159439899,0.5514601611328126,0.1404594159439899,0.01818627450980392,0.8422882352941177,False,Early_blight
Potato___Early_blight_image (388).JPG,728,0.663544705882353,-1.3877787807814457e-17,1209.6778578342416,0.16162870877771532,0.518955838024663,0.16162870877771532,0.020403529411764706,0.7888227450980392,False,Early_blight
Potato___Early_blight_image (222).JPG,544,0.4748403921568629,2.3418766925686896e-17,979.3012530973333,0.12450144498685244,0.47290766266467527,0.12450144498685244,0.061056470588235295,0.7387360784313727,False,Early_blight
Potato___Early_blight_image (808).JPG,889,0.243232549019608,6.938893903907228e-18,1456.378288317437,0.16357797699902926,0.5734263639322916,0.16357797699902926,0.003616078431372549,0.9029286274509805,False,Early_blight
Potato___Early_blight_image (330).JPG,680,0.7242729411764703,6.245004513516506e-17,1560.9553708180667,0.1473470320828043,0.5995911449716606,0.1473470320828043,0.033009411764705884,0.8557572549019608,False,Early_blight
Potato___Early_blight_image (760).JPG,592,0.5632960784313723,-4.683753385137379e-17,1405.4618044481128,0.13510232132809802,0.5700483773743873,0.13510232132809802,0.03696862745098039,0.8114388235294118,False,Early_blight
Potato___Early_blight_image (275).JPG,813,0.4788745098039215,1.3877787807814457e-17,1261.5469454450729,0.18769478210564802,0.5223231901999081,0.18769478210564802,0.008668627450980392,0.8551345098039216,False,Early_blight
Potato___Early_blight_image (625).JPG,595,0.5655290196078434,-2.7755575615628914e-17,1281.1399908838391,0.1577236223403747,0.5366373625153186,0.1577236223403747,0.03412549019607844,0.7872411764705883,False,Early_blight
Potato___Early_blight_image (449).JPG,579,0.5703490196078436,1.3877787807814457e-17,1431.3076764620089,0.156879966823237,0.5700074079924939,0.156879966823237,0.04253411764705882,0.8366701960784313,False,Early_blight
Potato___Early_blight_image (432).JPG,524,0.6243439215686273,-3.642919299551295e-17,1352.8485671899064,0.10865443548493194,0.5644241983570771,0.10865443548493194,0.06351098039215686,0.8274054901960785,False,Early_blight
Potato___Early_blight_image (598).JPG,790,0.46846705882352946,1.3877787807814457e-17,1256.2866566281132,0.17154784412041846,0.5266265528301164,0.17154784412041846,0.011176470588235295,0.8126050980392158,False,Early_blight
Potato___Early_blight_image (71).JPG,696,0.6129741176470589,0.0,1354.354679867366,0.15320790849877675,0.5543212674249387,0.15320790849877675,0.024630588235294116,0.7899388235294117,False,Early_blight
Potato___Early_blight_image (961).JPG,615,0.727994117647059,6.938893903907228e-18,1399.2137316055105,0.17273225022512217,0.5584781761259191,0.17273225022512217,0.045086666666666664,0.8851803921568628,False,Early_blight
Potato___Early_blight_image (824).JPG,759,0.5374349019607841,4.163336342344337e-17,1221.147841081564,0.19459918345242883,0.5102288423904718,0.19459918345242883,0.028812156862745096,0.8137062745098039,False,Early_blight
Potato___Early_blight_image (577).JPG,947,0.5280913725490196,9.540979117872439e-18,959.8729658625717,0.14641892979837257,0.461490594554228,0.14641892979837257,0.008415686274509804,0.754684705882353,False,Early_blight
Potato___Early_blight_image (127).JPG,537,0.655939607843137,2.7755575615628914e-17,1775.6345472788807,0.12756027462326697,0.6460169871132047,0.12756027462326697,0.05547529411764707,0.8601878431372548,False,Early_blight
Potato___Early_blight_image (609).JPG,884,0.2626101960784314,-1.474514954580286e-17,1338.63320819869,0.17098422497427201,0.5455235832184436,0.17098422497427201,0.0016666666666666666,0.8738407843137256,False,Early_blight
Potato___Early_blight_image (259).JPG,763,0.658090196078431,-3.469446951953614e-18,1405.2385855960615,0.18201154805324762,0.556824349341299,0.18201154805324762,0.025173333333333332,0.8385035294117648,False,Early_blight
Potato___Early_blight_image (936).JPG,813,0.4216525490196079,6.938893903907228e-18,1386.7386942476855,0.16842427297524,0.5569882599954044,0.16842427297524,0.00977764705882353,0.8078274509803921,False,Early_blight
Potato___Early_blight_image (26).JPG,739,0.6207207843137257,2.7755575615628914e-17,1334.4589620682357,0.18932360225825914,0.5385594532207414,0.18932360225825914,0.01589372549019608,0.8352807843137255,False,Early_blight
Potato___Early_blight_image (465).JPG,748,0.43611647058823544,-1.9081958235744878e-17,1513.8033949206047,0.174982264550777,0.582244406594669,0.174982264550777,0.03164039215686275,0.8552466666666666,False,Early_blight
Potato___Early_blight_image (170).JPG,630,0.4606764705882355,6.938893903907228e-18,1136.3131543940256,0.192566113868582,0.4902961428653493,0.192566113868582,0.018469019607843137,0.7739698039215687,False,Early_blight
Potato___Early_blight_image (520).JPG,949,0.7555560784313727,-6.938893903907228e-18,1139.6083740969789,0.21201050206491553,0.48313105784696697,0.21201050206491553,0.018416470588235295,0.8861113725490196,False,Early_blight
Potato___Early_blight_image (5).JPG,918,0.6025713725490195,-1.3877787807814457e-17,1309.9840117214728,0.13945811342861972,0.5481426780790442,0.13945811342861972,0.0041964705882352946,0.8699945098039215,False,Early_blight
Potato___Early_blight_image (873).JPG,985,0.4745454901960785,-1.3877787807814457e-17,1050.0809564733725,0.1795542274178694,0.4734793335439645,0.1795542274178694,0.011138823529411765,0.8208733333333332,False,Early_blight
Potato___Early_blight_image (473).JPG,897,0.45706901960784296,-6.938893903907228e-18,1027.0359646070042,0.17805458432872945,0.468069194910386,0.17805458432872945,0.0016666666666666666,0.7683290196078431,False,Early_blight
Potato___Early_blight_image (189).JPG,546,0.5251941176470588,-1.0408340855860843e-17,824.9693014767546,0.1762435686537718,0.41281238645067403,0.1762435686537718,0.018431372549019606,0.6836764705882353,False,Early_blight
Potato___Early_blight_image (30).JPG,611,0.6955949019607844,3.122502256758253e-17,1465.946969945514,0.15791502258463386,0.5771292603017769,0.15791502258463386,0.03330705882352941,0.8484796078431373,False,Early_blight
Potato___Early_blight_image (920).JPG,634,0.6447686274509805,-1.3877787807814457e-17,1096.5532362458382,0.18680304719834379,0.48261714613970585,0.18680304719834379,0.014555294117647059,0.8030427450980393,False,Early_blight
Potato___Early_blight_image (865).JPG,670,0.38125921568627447,-2.0816681711721685e-17,932.8862477288791,0.18116437400685978,0.44155451430376835,0.18116437400685978,0.023529411764705882,0.7941282352941177,False,Early_blight
Potato___Early_blight_image (536).JPG,515,0.56344,1.5612511283791264e-17,1572.3095359237868,0.19820358064138635,0.5870753609451593,0.19820358064138635,0.03410274509803922,0.8109623529411764,False,Early_blight
Potato___Early_blight_image (166).JPG,677,0.6974172549019607,0.0,1682.804466054387,0.13379866570690907,0.6269430587469363,0.13379866570690907,0.03191607843137255,0.8812588235294118,False,Early_blight
Potato___Early_blight_image (648).JPG,622,0.32180039215686257,-2.7755575615628914e-17,1235.9821454826733,0.13936173188391293,0.5313727912454045,0.13936173188391293,0.021527450980392156,0.8128807843137255,False,Early_blight
Potato___Early_blight_image (218).JPG,568,0.521006274509804,0.0,1488.9485911582951,0.12579531938984567,0.5897072567210477,0.12579531938984567,0.020954117647058824,0.8073145098039217,False,Early_blight
