,Edge_Count,Re(Mean_Frequency),Im(Mean_Frequency),Frequency_Variance,StDev_Contrast,Mean_Noise,StDev_Noise,Minimum_Intensity,Maximum_Intensity,Is_Healthy,Disease
Raspberry___healthy_image (326).JPG,417,0.2662399999999999,6.938893903907228e-18,1096.4732668964946,0.13013436179223667,0.5007754208792893,0.13013436179223667,0.19114901960784317,0.7290458823529412,False,Esca_(Black_Measles)
Raspberry___healthy_image (263).JPG,626,0.1439764705882352,5.204170427930421e-18,1168.1585623040926,0.22215770119917072,0.48563976169960177,0.22215770119917072,0.07564941176470588,0.7632239215686275,False,Esca_(Black_Measles)
Raspberry___healthy_image (371).JPG,384,0.4931254901960783,6.938893903907228e-18,995.811278534139,0.14131761414382082,0.47244755074295347,0.14131761414382082,0.08929529411764706,0.7086047058823529,False,Esca_(Black_Measles)
Raspberry___healthy_image (234).JPG,324,0.5633564705882353,6.938893903907228e-18,1855.9277823141283,0.15764275122769167,0.6544720121974571,0.15764275122769167,0.18246745098039213,0.8951811764705881,False,Esca_(Black_Measles)
Raspberry___healthy_image (367).JPG,365,0.38751019607843123,-2.0816681711721685e-17,1182.294354577782,0.1736681087890431,0.5084507171989889,0.1736681087890431,0.09099254901960784,0.7668627450980393,False,Esca_(Black_Measles)
Raspberry___healthy_image (222).JPG,297,0.43930980392156843,1.5612511283791264e-17,1308.3507690570614,0.18093023007184122,0.5354745033892463,0.18093023007184122,0.09434156862745098,0.8047250980392158,False,Esca_(Black_Measles)
Raspberry___healthy_image (330).JPG,527,0.3609074509803922,-2.7755575615628914e-17,1108.094647874775,0.14566365790725172,0.49934438916973045,0.14566365790725172,0.11257176470588234,0.7898564705882354,False,Esca_(Black_Measles)
Raspberry___healthy_image (275).JPG,755,0.4799094117647059,-2.0816681711721685e-17,1261.9893517946985,0.1890728894694754,0.5219296315870098,0.1890728894694754,0.11066941176470589,0.7654788235294118,False,Esca_(Black_Measles)
Raspberry___healthy_image (71).JPG,564,0.3810290196078432,5.551115123125783e-17,978.6740959057283,0.1702881770695721,0.45822645852481614,0.1702881770695721,0.06188196078431373,0.7433858823529411,False,Esca_(Black_Measles)
Raspberry___healthy_image (127).JPG,656,0.3776949019607843,1.214306433183765e-17,1208.1633014139393,0.1435427865569101,0.5238244357000612,0.1435427865569101,0.1621156862745098,0.7985329411764706,False,Esca_(Black_Measles)
Raspberry___healthy_image (259).JPG,390,0.37207764705882346,8.673617379884035e-18,1040.7571014921314,0.19911418014983095,0.4631181617647059,0.19911418014983095,0.08204823529411764,0.7189705882352941,False,Esca_(Black_Measles)
Raspberry___healthy_image (26).JPG,249,0.5002980392156863,-6.071532165918825e-18,1328.7700028729812,0.1397883048153871,0.5522020253140318,0.1397883048153871,0.11140392156862744,0.749792549019608,False,Esca_(Black_Measles)
Raspberry___healthy_image (170).JPG,335,0.3908443137254902,-6.938893903907228e-18,1071.9079529711983,0.12888106716230677,0.49509922526041666,0.12888106716230677,0.12156235294117647,0.7590721568627451,False,Esca_(Black_Measles)
Raspberry___healthy_image (5).JPG,246,0.45548,-1.734723475976807e-18,1592.1487124101989,0.13771966096786953,0.6081053581686581,0.13771966096786953,0.1733470588235294,0.8105882352941177,False,Esca_(Black_Measles)
Raspberry___healthy_image (189).JPG,373,0.4485360784313725,2.0816681711721685e-17,1241.507422221133,0.16706690052706455,0.5246333634918812,0.16706690052706455,0.08511372549019608,0.749792549019608,False,Esca_(Black_Measles)
Raspberry___healthy_image (30).JPG,471,0.40204274509803944,4.163336342344337e-17,1040.2009867627805,0.19535843347787385,0.4645749282896752,0.19535843347787385,0.08816431372549019,0.7884427450980392,False,Esca_(Black_Measles)
Raspberry___healthy_image (166).JPG,442,0.34936588235294097,-5.377642775528102e-17,1154.3968663501591,0.20142037937022778,0.49121767290900736,0.20142037937022778,0.09152823529411766,0.7825490196078432,False,Esca_(Black_Measles)
Raspberry___healthy_image (218).JPG,567,0.34885450980392146,1.0408340855860843e-17,1183.29397771921,0.1389984469692098,0.5192295010914522,0.1389984469692098,0.14112392156862746,0.7279447058823529,False,Esca_(Black_Measles)
Raspberry___healthy_image (67).JPG,565,0.2795741176470588,-6.938893903907228e-18,1239.6803257217514,0.19716959480360619,0.5136142159734988,0.19716959480360619,0.07819490196078432,0.7601356862745099,False,Esca_(Black_Measles)
Raspberry___healthy_image (131).JPG,694,0.24602980392156887,0.0,1194.9019118307604,0.1592011655939655,0.5161335742187501,0.1592011655939655,0.09416470588235294,0.7341062745098039,False,Esca_(Black_Measles)
Raspberry___healthy_image (88).JPG,260,0.4048349019607845,-1.3877787807814457e-17,1278.833461955113,0.140744096172121,0.5407830550130208,0.140744096172121,0.12848980392156864,0.7872890196078431,False,Esca_(Black_Measles)
Raspberry___healthy_image (146).JPG,493,0.5510780392156861,-4.163336342344337e-17,1207.8896953187602,0.13436004919026873,0.5262285289330577,0.13436004919026873,0.06799725490196079,0.7279447058823529,False,Esca_(Black_Measles)
Raspberry___healthy_image (10).JPG,487,0.2992572549019608,-1.3877787807814457e-17,1010.1437818937354,0.1389184219125956,0.47680254854090076,0.1389184219125956,0.11769411764705884,0.6783333333333333,False,Esca_(Black_Measles)
Raspberry___healthy_image (280).JPG,628,0.13140823529411746,-6.938893903907228e-18,992.4267510431997,0.18575607303214112,0.4558405252374388,0.18575607303214112,0.09773529411764706,0.7248941176470589,False,Esca_(Black_Measles)
Raspberry___healthy_image (111).JPG,441,0.36876078431372583,7.806255641895632e-18,1043.7449742478861,0.10786316915797542,0.4931726740579043,0.10786316915797542,0.11929176470588236,0.6631976470588236,False,Esca_(Black_Measles)
Raspberry___healthy_image (47).JPG,344,0.34210392156862746,0.0,1061.7886147943511,0.13030623107152978,0.49221397298177083,0.13030623107152978,0.1086886274509804,0.7483858823529412,False,Esca_(Black_Measles)
Raspberry___healthy_image (238).JPG,604,0.40732627450980396,-1.3877787807814457e-17,1103.9982784963895,0.221468895781102,0.46959862055759805,0.221468895781102,0.09217686274509804,0.7545850980392157,False,Esca_(Black_Measles)
Raspberry___healthy_image (107).JPG,521,0.4653831372549021,4.163336342344337e-17,1193.9025630671958,0.181522245688288,0.5085102443321079,0.181522245688288,0.10664901960784315,0.7427827450980393,False,Esca_(Black_Measles)
Raspberry___healthy_image (51).JPG,643,0.37268156862745105,-6.938893903907228e-18,929.0010347598136,0.14668797281223894,0.4531262969132966,0.14668797281223894,0.10531686274509802,0.71618,False,Esca_(Black_Measles)
Raspberry___healthy_image (150).JPG,330,0.0960301960784313,-1.3877787807814457e-17,1333.2051908241922,0.21385747835130278,0.52892038995481,0.21385747835130278,0.07642235294117647,0.7629411764705882,False,Esca_(Black_Measles)
Raspberry___healthy_image (296).JPG,700,0.2802070588235294,-6.938893903907228e-18,1026.101288316478,0.14425207865148384,0.47929481177236516,0.14425207865148384,0.08231529411764706,0.7904596078431372,False,Esca_(Black_Measles)
Raspberry___healthy_image (279).JPG,736,0.4026019607843139,1.3877787807814457e-17,1183.5611172928427,0.19413398875084115,0.5013052140778187,0.19413398875084115,0.1015886274509804,0.81698,False,Esca_(Black_Measles)
Raspberry___healthy_image (92).JPG,633,0.331193725490196,-1.3877787807814457e-17,810.7439546817668,0.1281654205312325,0.4260703467754289,0.1281654205312325,0.11186078431372551,0.6643286274509804,False,Esca_(Black_Measles)
Raspberry___healthy_image (202).JPG,363,0.4488862745098039,-1.8214596497756474e-17,1423.5878536366165,0.18123916698747172,0.5610322510723039,0.18123916698747172,0.10078509803921569,0.8360670588235294,False,Esca_(Black_Measles)
Raspberry___healthy_image (347).JPG,665,0.2793211764705883,-4.163336342344337e-17,1334.6880069530996,0.19156093345713165,0.5377499613204657,0.19156093345713165,0.09441686274509804,0.8200980392156862,False,Esca_(Black_Measles)
Raspberry___healthy_image (193).JPG,562,0.37737450980392134,2.862293735361732e-17,1253.5457675982855,0.16981085655016648,0.5265363127106311,0.16981085655016648,0.12852588235294118,0.7917917647058823,False,Esca_(Black_Measles)
Raspberry___healthy_image (9).JPG,527,0.3367905882352941,-1.3877787807814457e-17,984.6493529442732,0.11436537354604545,0.47680306429993874,0.11436537354604545,0.08904235294117648,0.6699545098039216,False,Esca_(Black_Measles)
Raspberry___healthy_image (255).JPG,522,0.5037435294117647,-1.734723475976807e-18,938.7646163520571,0.10644100244231147,0.46682207069546566,0.10644100244231147,0.13188901960784313,0.690127843137255,False,Esca_(Black_Measles)
Raspberry___healthy_image (310).JPG,644,0.5577611764705883,1.3877787807814457e-17,839.7520009675676,0.14224806128815487,0.42995234499463847,0.14224806128815487,0.07587098039215687,0.7578917647058824,False,Esca_(Black_Measles)
Raspberry___healthy_image (185).JPG,595,0.4420862745098039,-6.938893903907228e-18,837.0046390933609,0.12328598747015906,0.4349656491268382,0.12328598747015906,0.1111956862745098,0.6724349019607843,False,Esca_(Black_Measles)
