,Edge_Count,Re(Mean_Frequency),Im(Mean_Frequency),Frequency_Variance,StDev_Contrast,Mean_Noise,StDev_Noise,Minimum_Intensity,Maximum_Intensity,Is_Healthy,Disease
Soybean___healthy_image (2287).JPG,278,0.5006686274509804,-2.42861286636753e-17,1874.613263764252,0.18834076441053224,0.6498139801623775,0.18834076441053224,0.13521607843137257,0.8736011764705883,True,Healthy
Soybean___healthy_image (1852).JPG,288,0.40995960784313734,8.673617379884035e-18,1383.553973704436,0.16243909635381046,0.5580647845818014,0.16243909635381046,0.18196156862745097,0.8134086274509804,True,Healthy
Soybean___healthy_image (4703).JPG,445,0.5194282352941176,0.0,1008.5742327227108,0.15268606408209504,0.47221476035922183,0.15268606408209504,0.0870929411764706,0.7946113725490195,True,Healthy
Soybean___healthy_image (1501).JPG,309,0.38078941176470615,0.0,1404.674674814702,0.16550650154252347,0.561766100356158,0.16550650154252347,0.0675235294117647,0.820127843137255,True,Healthy
Soybean___healthy_image (776).JPG,277,0.5306572549019606,-1.0408340855860843e-17,1888.0581177407882,0.1592932828542622,0.6600349144071691,0.1592932828542622,0.12487215686274508,0.8915650980392157,True,Healthy
Soybean___healthy_image (4353).JPG,234,0.43483686274509803,1.6479873021779667e-17,1220.4366804376045,0.1191227460404243,0.5327420653339461,0.1191227460404243,0.10217607843137254,0.7441964705882353,True,Healthy
Soybean___healthy_image (3496).JPG,265,0.5371321568627451,-2.0816681711721685e-17,1661.9181272261044,0.1802714249728737,0.6109945833333333,0.1802714249728737,0.15680313725490194,0.8635180392156863,True,Healthy
Soybean___healthy_image (1151).JPG,279,0.5415729411764705,2.2551405187698492e-17,1733.1183049826093,0.1731101865774358,0.6270797845818015,0.1731101865774358,0.12851176470588238,0.8918023529411765,True,Healthy
Soybean___healthy_image (326).JPG,285,0.46548666666666666,2.0816681711721685e-17,1225.8372389881763,0.14670638800314703,0.5270738138595281,0.14670638800314703,0.14073960784313724,0.7865309803921569,True,Healthy
Soybean___healthy_image (3479).JPG,153,0.28365882352941163,5.204170427930421e-18,1155.9085940219254,0.13903661745225107,0.5127306405101103,0.13903661745225107,0.23826745098039218,0.7624729411764706,True,Healthy
