,Edge_Count,Re(Mean_Frequency),Im(Mean_Frequency),Frequency_Variance,StDev_Contrast,Mean_Noise,StDev_Noise,Minimum_Intensity,Maximum_Intensity,Is_Healthy,Disease
Squash___Powdery_mildew_image (1501).JPG,25,0.7235070588235292,-6.938893903907228e-18,2199.7901998544667,0.07969708935232886,0.7285837814989278,0.07969708935232886,0.48726431372549023,0.8927125490196078,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (776).JPG,271,0.46310705882352937,-2.7755575615628914e-17,1134.8230891845956,0.10594027949917056,0.5156408011642157,0.10594027949917056,0.2814145098039216,0.7582388235294117,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (1151).JPG,269,0.6762313725490197,0.0,1710.1716488451132,0.06787776795036744,0.642671476428462,0.06787776795036744,0.1906694117647059,0.8067725490196078,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (326).JPG,302,0.5234968627450982,0.0,1009.299064019597,0.07134722880717972,0.491311900658701,0.07134722880717972,0.19071490196078433,0.7389019607843137,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (1444).JPG,178,0.4950278431372549,1.3877787807814457e-17,893.1298858719525,0.10123242440077518,0.4559178786573223,0.10123242440077518,0.0417086274509804,0.6871839215686274,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (633).JPG,140,0.45253294117647075,0.0,822.3193024132262,0.10732665393220567,0.4350776188151042,0.10732665393220567,0.13104862745098037,0.6624396078431373,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (1014).JPG,313,0.606498431372549,-3.469446951953614e-18,833.8999684988235,0.11160028117961866,0.4372917121438419,0.11160028117961866,0.02910274509803922,0.691618431372549,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (263).JPG,176,0.46932901960784323,-3.469446951953614e-18,981.834154586457,0.06933661418549687,0.48471828402650124,0.06933661418549687,0.14839529411764707,0.6554219607843137,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (799).JPG,358,0.47402039215686276,6.938893903907228e-18,942.8501859689451,0.13106594843441427,0.46158922009037995,0.13106594843441427,0.1268364705882353,0.7362070588235294,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (1297).JPG,121,0.5282972549019607,5.204170427930421e-18,1038.4020807750037,0.08514110012108562,0.4963217356004902,0.08514110012108562,0.062165490196078435,0.6938960784313726,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (849).JPG,317,0.5978141176470592,2.7755575615628914e-17,974.6043294067689,0.08066489008372864,0.4811662259689032,0.08066489008372864,0.025486666666666668,0.7258192156862745,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (1782).JPG,126,0.5921976470588236,-2.0816681711721685e-17,1580.5831814971493,0.15373861986782894,0.6019423744829964,0.15373861986782894,0.33708196078431374,0.9444949019607843,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (1278).JPG,89,0.46041882352941177,3.469446951953614e-18,1252.5887755414078,0.0648419777796334,0.5492313526348039,0.0648419777796334,0.2046207843137255,0.7106247058823529,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (1628).JPG,471,0.5325611764705882,1.734723475976807e-17,1049.158082750788,0.0809281949680006,0.4996618664790135,0.0809281949680006,0.09497372549019607,0.7493556862745097,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (1106).JPG,166,0.4813380392156863,0.0,1350.0458690223015,0.10183788521031141,0.5650545561427697,0.10183788521031141,0.151758431372549,0.7722223529411766,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (371).JPG,320,0.6400960784313725,2.7755575615628914e-17,1209.986898341371,0.07793844537763374,0.5379893924249388,0.07793844537763374,0.15983882352941176,0.770058431372549,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (1556).JPG,310,0.5366172549019607,-2.949029909160572e-17,980.7261147649605,0.12918416781796466,0.4720347864966299,0.12918416781796466,0.07897490196078431,0.7825521568627452,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (721).JPG,408,0.24086039215686256,-6.938893903907228e-18,872.4185837394768,0.09602982610206336,0.45142580154718137,0.09602982610206336,0.12274666666666666,0.7199482352941177,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (1805).JPG,174,0.5549901960784313,6.938893903907228e-18,1107.7515230117717,0.08934835638047928,0.5123858108340993,0.08934835638047928,0.049887058823529416,0.7383952941176471,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (1043).JPG,66,0.485376862745098,-2.42861286636753e-17,1089.2499733019552,0.07903274714800025,0.5096484194048713,0.07903274714800025,0.32267372549019613,0.7531949019607843,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (234).JPG,125,0.5009207843137254,1.3877787807814457e-17,1046.465934367146,0.06978145042453854,0.500676199352788,0.06978145042453854,0.14169019607843134,0.6706494117647058,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (1413).JPG,359,0.34377058823529416,-2.0816681711721685e-17,808.1391559839745,0.057932785090493794,0.4404228004365809,0.057932785090493794,0.28098,0.693635294117647,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (664).JPG,213,0.5882156862745104,1.734723475976807e-17,1254.15272342551,0.08734595914714616,0.5464840210439644,0.08734595914714616,0.06687490196078433,0.7282603921568628,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (1690).JPG,170,0.5244596078431373,-6.938893903907228e-18,784.6964564614841,0.09154297528785695,0.42809265328201596,0.09154297528785695,0.03585960784313726,0.6400749019607843,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (408).JPG,216,0.5712733333333335,2.0816681711721685e-17,865.4355356359749,0.12557855564579032,0.44226425924862134,0.12557855564579032,0.07559686274509804,0.7549972549019608,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (1385).JPG,437,0.7319219607843139,-3.469446951953614e-18,1441.5284482880343,0.07253041577135953,0.5889021851064644,0.07253041577135953,0.16292784313725492,0.8333392156862746,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (1813).JPG,247,0.6463607843137256,3.9898639947466563e-17,994.6942803625748,0.09312440851988034,0.48401975729549634,0.09312440851988034,0.09687058823529412,0.7253647058823529,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (737).JPG,215,0.5696360784313729,-6.938893903907228e-18,1080.0594019400628,0.08799851036707788,0.5059860271139706,0.08799851036707788,0.1048992156862745,0.7211462745098041,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (1540).JPG,274,0.5057760784313727,0.0,1010.2204206642558,0.07312576581944939,0.4912747914751838,0.07312576581944939,0.15654392156862745,0.6562780392156863,False,Septoria_leaf_spot
Squash___Powdery_mildew_image (367).JPG,342,0.37384862745098035,-1.5612511283791264e-17,1042.6920754186128,0.11169501658464212,0.4920587769990809,0.11169501658464212,0.23472156862745097,0.71118,False,Septoria_leaf_spot
