,Edge_Count,Re(Mean_Frequency),Im(Mean_Frequency),Frequency_Variance,StDev_Contrast,Mean_Noise,StDev_Noise,Minimum_Intensity,Maximum_Intensity,Is_Healthy,Disease
Strawberry___healthy_image (326).JPG,617,0.24242705882352952,-5.551115123125783e-17,1002.2368414638736,0.16064328031474043,0.4678619601141238,0.16064328031474043,0.06273803921568627,0.8517039215686274,True,Healthy
Strawberry___healthy_image (263).JPG,554,0.623920392156863,-5.204170427930421e-18,1146.2407782933292,0.12614979823458475,0.513833831763174,0.12614979823458475,0.08405019607843138,0.8307137254901961,True,Healthy
Strawberry___healthy_image (371).JPG,425,0.437347843137255,6.938893903907228e-18,1067.863428131927,0.08277600234177224,0.5038885548789829,0.08277600234177224,0.1123564705882353,0.7952603921568627,True,Healthy
Strawberry___healthy_image (234).JPG,665,0.5280686274509804,-6.938893903907228e-18,1351.8191538725623,0.16540227572896118,0.5502219011374081,0.16540227572896118,0.09157215686274509,0.8296603921568627,True,Healthy
Strawberry___healthy_image (408).JPG,563,0.2917188235294119,-2.6020852139652106e-17,1287.1617942728774,0.15002096143181662,0.5401508792892157,0.15002096143181662,0.058778823529411765,0.7638419607843137,True,Healthy
Strawberry___healthy_image (367).JPG,376,0.442427843137255,1.3877787807814457e-17,1289.4951674380122,0.15343923375138263,0.5397428520412071,0.15343923375138263,0.048420000000000005,0.7523686274509804,True,Healthy
Strawberry___healthy_image (388).JPG,480,0.38806078431372537,2.7755575615628914e-17,1130.0144701080612,0.1548138673693453,0.5019480758846507,0.1548138673693453,0.04446862745098039,0.7806443137254903,True,Healthy
Strawberry___healthy_image (222).JPG,620,0.4158635294117648,6.938893903907228e-18,989.1875885017466,0.11941411781705866,0.47674245337392773,0.11941411781705866,0.07369921568627451,0.6898396078431371,True,Healthy
Strawberry___healthy_image (330).JPG,473,0.5073894117647058,1.3877787807814457e-17,1104.142959934267,0.1282505522918783,0.5031707470703125,0.1282505522918783,0.04337529411764706,0.7555482352941176,True,Healthy
Strawberry___healthy_image (275).JPG,624,0.56032,-2.0816681711721685e-17,1288.3392303353974,0.14305336618563003,0.5423544314874387,0.14305336618563003,0.12851098039215686,0.7697129411764705,True,Healthy
