,Edge_Count,Re(Mean_Frequency),Im(Mean_Frequency),Frequency_Variance,StDev_Contrast,Mean_Noise,StDev_Noise,Minimum_Intensity,Maximum_Intensity,Is_Healthy,Disease
Tomato___Target_Spot_image (776).JPG,327,0.39790588235294105,-6.938893903907228e-18,903.6929865082645,0.12520740215113582,0.4527581380208333,0.12520740215113582,0.05515490196078431,0.6657650980392157,False,Target_Spot
Tomato___Target_Spot_image (1151).JPG,719,0.48353882352941185,4.163336342344337e-17,1027.6121307134424,0.19109685222815287,0.46305609097349876,0.19109685222815287,0.046195686274509803,0.7585513725490196,False,Target_Spot
Tomato___Target_Spot_image (326).JPG,557,0.4244623529411765,-2.7755575615628914e-17,898.1519801473078,0.14386945083549027,0.4456691074027267,0.14386945083549027,0.049849411764705885,0.7304745098039216,False,Target_Spot
Tomato___Target_Spot_image (633).JPG,442,0.4574709803921567,6.938893903907228e-18,963.375218079946,0.12963275045949446,0.46738150534237133,0.12963275045949446,0.04503411764705882,0.6848074509803922,False,Target_Spot
Tomato___Target_Spot_image (1014).JPG,558,0.5258356862745096,-1.214306433183765e-17,1157.07064723314,0.1502798454832747,0.5098739301853554,0.1502798454832747,0.027450980392156862,0.7531933333333334,False,Target_Spot
Tomato___Target_Spot_image (263).JPG,773,0.4924823529411765,2.7755575615628914e-17,939.6350229261933,0.18796307025183834,0.4406043345013787,0.18796307025183834,0.03668588235294118,0.8666211764705882,False,Target_Spot
Tomato___Target_Spot_image (799).JPG,356,0.4148992156862746,2.7755575615628914e-17,1027.8753521123424,0.1302691128870165,0.483754189453125,0.1302691128870165,0.08256039215686274,0.7057843137254902,False,Target_Spot
Tomato___Target_Spot_image (1297).JPG,381,0.30758823529411783,6.938893903907228e-18,933.7384267853561,0.10082057877661946,0.4667138226677389,0.10082057877661946,0.09215333333333334,0.7893607843137256,False,Target_Spot
Tomato___Target_Spot_image (849).JPG,710,0.6384372549019606,-2.42861286636753e-17,1118.1728722306264,0.18315529305660488,0.48943342218137253,0.18315529305660488,0.035554117647058826,0.7661415686274509,False,Target_Spot
Tomato___Target_Spot_image (1278).JPG,775,0.33276156862745104,-2.0816681711721685e-17,961.4730327124719,0.1680837048264714,0.45443319536994486,0.1680837048264714,0.08713843137254902,0.8588337254901961,False,Target_Spot
